lemmata,text
ГЬАДА́М,"// ГЬАДА́Н мн. (-и́) 1) человек 2) люди; гьадам гобусо а) безлюдный б) перен. одинокий; гьадам гобусо мокIо безлюдное место; йу гьадам гобусо гъиIне голи она одинокая женщина (есть); оно доццон гьадан бечи там было много людей; гьадамыс майкIе человеческое дитя; гъонолъ илул гьадамыс майкIе бысбу мы в лесу не встретили ни одной человеческой души; гьадан багъдов гьимон-чIидо-гъур посл. человека может насытить только земли-камни; гьадан хIалтIишшекъун, хIалтIидо, гьадан беччалIа, бечче когда люди работают – работай, когда люди отдыхают – отдыхай; гьадан букIалIа – укIе, гьадан багьалIа – агьа когда люди наклонятся – наклоняйся (при намазе), когда люди поднимаются – поднимайся; бугьалIа гьадамыс къиммат бийокъ посл. после смерти человека ценят; лIыссу гьадан – бугьгьу гьадан спящий человек – мёртвый человек; дубул гохъатегу гьимон гьадамыл лийобо то, что тебе не нравится, не делай другим; чIаматIу гьаданкьаз шикьу лēгъби погов. голого человека не разденешь; гIадалаб гьаданла шелаба лохъолIдогу леччулъо, эдуб гьадамла кьокъа лохъолIа лечи если бы у дураков вырастали рога, то у некоторых они выросли бы на лбу; бахъну гьадам багъвахби лёжка (букв. ничего не делание) людей не насытит; мехебуч гьунен лийокъби, бакбуч гьаданын бийокъби букв. не пройдя путь, не определишь, не видя человека, не познаёшь ♦ гьадамылъыл бехъва быть в обществе (букв. в люди выходить); гьадамылъыл бегъва помочь сориентироваться в обществе (букв. в люди вывести); йу гьадамылъыл илъе эгъви она вывела его в общество; гьадан баквикьо хабар бештIа лицемерить (букв. говорить каждому, что им по душе)"
ГЬАДА́МЛЪИ,IV (-и́); проявление человечности; человечность; гуманизм; гьадамлъи гобусо бесчеловечный; оно гьаданлъи голлу гьадам бечын там оказались человечные люди гьаданлъи гобусо гьимон лийин исе он сделал бесчеловечный поступок (поступил бесчеловечно)
ГЬАДДАРА́Б,"(мн. -тIа) везучий, удачливый; счастливый; гьаддарав гьикIо счастливый (везучий) человек; гьаддарай букъе мо уже голлу ты же везучая, имеешь сына; ср.: гьаддарав, гьаддарай, гьаддарал"
ГЬАДИЙА́ДБА,"мн. (-за́) мест. взаим. друг друга; гьадийадхъа а) друг к другу б) друг с другом (не имеющая связь); ило гьадийадхъал ругьунлъи мы привыкли друг к другу гьадийадхъал албусо хабар непоследовательный рассказ; гьадийадхъал албусо не имеющий связки с кем-л.; гьадийадхъал албусо хъод стена, не имеющая связки; эᴴса гьадийадылъ тIетIехи быки вцепились в друг друга; жиду гьадийадкьа кьоло-гилъил мехейой они ходят друг к другу (они общаются) ♦ гьадийадгъалын тылIын лесенкой (букв. передавая друг другу); гьадийадкьал ботIкъа нуждаться в помощи (букв. друг в друге нуждаться); гьадийадкьал гьусида наускивать людей (букв. вызывать гнев друг к другу); гьадийадла зызе нунун гулун дружно, любо-мило (букв. кормя друг друга изо рта); гьадийадхъа лохъхъохбуч алчно (букв. не давая друг другу хватать); гьадийадхъазын легъун с жадностью (букв. вырывая из рук друг друга); гьадийадыл йахI тылIа поддерживать (морально) (букв. друг другу терпение давать); гьадийадыс лохъхъа поддержать кого-л. (в споре) (букв. держать сторону друг друга)"
ГЬАДИЙА́ДЛА,нареч. друг за другом; подряд; ило гьадийадла жогьо мекьи мы пошли один за другим; гьадан гьадийадла жогьо мокIше голи люди ходят друг за другом гьадийадла жогьо гилъил гьобо заходите подряд; квант. гьадийабда
ГЬАЖИЛА́КЪЛАКЪ,"III (-и́, -бо, -за́) зоол. цапля"
ГЬАЙ,"1 IV (-и́, -бо, -за́) пар; шоггокьоз гьай нокIше над котлом поднимается пар; гъудузакьа гьай голи над пашнями пар (есть) ♦ гьайтго гьай марш-броском; йеᴴкьигьед гьайтго гьайлIун ушла маршируя (без ничего)"
ГЬАЙ,"2 IV (-и́, -бо, -за́) изгнание джинов (религиозный обряд над охваченным джинами человеком: сыпают серу, кидают шерсть, кладут масло, бросают глину по углам комнаты, чтобы джины отпустили больного; попутно читают суры из Корана); гьай лише проводят изгнание джинов; гьай лийалIа мадар бехъви после изгнания джинов больному стало легче"
ГЬАЙБАТА́Б,"(мн. -тIа) прелестный, изящный, красивый, очаровательный, обаятельный, видный, симпатичный; гьайбатаб тIабигIат прекрасная (красивая) природа; гьайбатаб сурат прелестная картина; гьайбатай кад очаровательная девушка, гьайбатав уже симпатичный (видный) парень; ср.: гьайбатав, гьайбатай, гьайбатар"
ГЬАЙБАТЛЪИ,"IV (-и́) прелесть, изящество, красота, очарование, обаятельность, симпатия; кандыс гьайбатлъи красота (очарование) девушки"
ГЬАЙ-ГЬАЙ,"1. межд. ах-ах-ах (выражает восторг, удивление, одобрение) 2. вводн. сл. конечно, обязательно; гьай-гьай, дон йуха голи конечно (обязательно) и я приду"
ГЬАЙГЬЕ́Д,"междометие, выражающее сожаление о том, чего-то нет или отсутствут; см. гьāй!"
ГЬАЙИ́ТТУ,"1) прохладный, холодный; гьайитту кулуб холодное помещение клуба 2) перен. неуютный; гьайитту аᴴхъ дом без тепла (без тепла домашнего очага); гъиIне гобусо аᴴхъ гьайитту лēч посл. дом без жены – неуютный дом (букв. не согревается)"
